iter	Passed	Remaining
0	144	143879
1	147	73657
2	151	50400
3	154	38581
4	157	31377
5	163	27153
6	167	23773
7	172	21367
8	177	19539
9	182	18084
10	192	17276
11	194	16046
12	200	15211
13	204	14406
14	212	13981
15	226	13958
16	233	13528
17	237	12942
18	242	12506
19	247	12118
20	251	11712
21	252	11233
22	256	10896
23	259	10548
24	266	10378
25	269	10109
26	275	9913
27	280	9751
28	283	9477
29	286	9257
30	289	9052
31	292	8839
32	295	8646
33	299	8518
34	304	8407
35	307	8230
36	312	8130
37	316	8021
38	319	7873
39	321	7722
40	326	7632
41	328	7499
42	332	7404
43	338	7356
44	341	7242
45	344	7146
46	347	7040
47	350	6953
48	353	6851
49	355	6755
50	360	6703
51	365	6664
52	366	6545
53	368	6463
54	375	6453
55	409	6901
56	411	6815
57	413	6710
58	416	6642
59	422	6619
60	433	6669
61	442	6699
62	449	6690
63	462	6760
64	464	6688
65	479	6781
66	491	6848
67	502	6892
68	514	6946
69	522	6945
70	529	6927
71	539	6955
72	552	7020
73	556	6957
74	571	7049
75	579	7050
76	588	7054
77	596	7048
78	601	7015
79	607	6988
80	611	6937
81	614	6874
82	616	6811
83	620	6771
84	623	6713
85	628	6678
86	633	6643
87	638	6616
88	642	6580
89	649	6564
90	653	6526
91	659	6512
92	661	6453
93	668	6444
94	671	6396
95	674	6348
96	674	6281
97	677	6239
98	681	6199
99	685	6173
100	689	6135
101	691	6092
102	694	6052
103	701	6040
104	706	6024
105	708	5976
106	711	5935
107	715	5910
108	720	5887
109	723	5850
110	726	5821
111	729	5787
112	732	5751
113	738	5738
114	740	5701
115	743	5668
116	752	5679
117	754	5642
118	759	5620
119	763	5596
120	766	5566
121	769	5537
122	772	5509
123	779	5506
124	781	5472
125	784	5438
126	786	5409
127	793	5406
128	797	5385
129	806	5399
130	812	5388
131	817	5376
132	827	5393
133	832	5382
134	841	5390
135	846	5376
136	850	5357
137	852	5327
138	859	5321
139	861	5291
140	866	5277
141	871	5266
142	878	5262
143	884	5258
144	895	5281
145	904	5291
146	907	5264
147	919	5293
148	930	5313
149	935	5298
150	939	5281
151	941	5253
152	946	5237
153	956	5254
154	961	5242
155	964	5215
156	966	5192
157	974	5192
158	978	5173
159	985	5173
160	989	5156
161	994	5142
162	998	5129
163	1007	5134
164	1013	5131
165	1017	5110
166	1024	5111
167	1027	5086
168	1029	5063
169	1033	5045
170	1036	5023
171	1041	5012
172	1044	4991
173	1047	4974
174	1052	4961
175	1058	4957
176	1061	4937
177	1073	4957
178	1086	4984
179	1094	4985
180	1098	4970
181	1109	4987
182	1117	4989
183	1122	4978
184	1127	4968
185	1132	4956
186	1136	4940
187	1143	4940
188	1148	4929
189	1151	4907
190	1153	4887
191	1161	4886
192	1174	4910
193	1177	4893
194	1186	4898
195	1196	4908
196	1204	4909
197	1206	4888
198	1211	4875
199	1228	4912
200	1242	4937
201	1272	5028
202	1306	5128
203	1308	5106
204	1312	5089
205	1331	5132
206	1337	5123
207	1350	5141
208	1363	5159
209	1377	5182
210	1396	5221
211	1398	5197
212	1402	5182
213	1407	5169
214	1409	5146
215	1414	5135
216	1420	5127
217	1425	5114
218	1431	5105
219	1434	5087
220	1439	5075
221	1443	5058
222	1448	5047
223	1451	5027
224	1454	5010
225	1459	4999
226	1465	4989
227	1468	4973
228	1474	4963
229	1480	4955
230	1484	4942
231	1489	4932
232	1492	4912
233	1496	4898
234	1500	4884
235	1503	4868
236	1507	4854
237	1513	4844
238	1517	4833
239	1520	4814
240	1526	4806
241	1532	4800
242	1536	4786
243	1541	4774
244	1544	4759
245	1548	4747
246	1555	4742
247	1560	4732
248	1565	4720
249	1568	4706
250	1573	4696
251	1578	4686
252	1584	4679
253	1587	4662
254	1591	4650
255	1594	4634
256	1597	4618
257	1600	4602
258	1602	4585
259	1605	4570
260	1610	4560
261	1616	4553
262	1619	4538
263	1624	4529
264	1628	4516
265	1630	4498
266	1635	4489
267	1643	4489
268	1646	4474
269	1648	4457
270	1651	4441
271	1656	4433
272	1659	4419
273	1661	4402
274	1666	4394
275	1669	4378
276	1673	4367
277	1676	4353
278	1681	4345
279	1684	4332
280	1687	4316
281	1690	4304
282	1694	4292
283	1702	4293
284	1709	4287
285	1715	4281
286	1719	4270
287	1721	4256
288	1726	4248
289	1734	4246
290	1737	4234
291	1742	4225
292	1746	4213
293	1751	4206
294	1756	4198
295	1763	4193
296	1774	4199
297	1777	4186
298	1781	4175
299	1784	4163
300	1786	4149
301	1790	4138
302	1794	4128
303	1802	4126
304	1804	4111
305	1810	4105
306	1815	4099
307	1818	4085
308	1822	4075
309	1826	4065
310	1832	4059
311	1836	4050
312	1840	4039
313	1843	4028
314	1846	4015
315	1849	4004
316	1855	3997
317	1858	3986
318	1862	3976
319	1865	3965
320	1870	3956
321	1873	3943
322	1877	3935
323	1880	3923
324	1883	3911
325	1885	3899
326	1888	3887
327	1891	3874
328	1896	3867
329	1898	3854
330	1900	3841
331	1904	3831
332	1913	3832
333	1915	3820
334	1920	3811
335	1923	3800
336	1926	3789
337	1930	3781
338	1937	3778
339	1943	3772
340	1947	3763
341	1950	3753
342	1955	3746
343	1961	3740
344	1966	3734
345	1972	3728
346	1975	3717
347	1979	3707
348	1983	3700
349	1985	3687
350	1991	3681
351	1997	3677
352	2002	3670
353	2005	3658
354	2007	3647
355	2013	3641
356	2015	3629
357	2019	3621
358	2021	3610
359	2026	3602
360	2038	3607
361	2041	3598
362	2047	3593
363	2050	3582
364	2055	3575
365	2059	3567
366	2061	3556
367	2066	3549
368	2073	3545
369	2078	3539
370	2081	3529
371	2084	3519
372	2090	3514
373	2094	3505
374	2097	3495
375	2102	3489
376	2112	3490
377	2118	3486
378	2121	3476
379	2129	3474
380	2133	3466
381	2141	3464
382	2143	3453
383	2154	3456
384	2157	3446
