iter	RMSE
0	2.024315504
1	2.007080566
2	1.981227049
3	1.959508964
4	1.938066961
5	1.919271551
6	1.90152935
7	1.883374672
8	1.866558284
9	1.848905951
10	1.835123116
11	1.814602526
12	1.798826294
13	1.7818505
14	1.76626114
15	1.754954256
16	1.735986518
17	1.725867022
18	1.711208135
19	1.697625856
20	1.680347028
21	1.6677795
22	1.653530578
23	1.633024189
24	1.618483113
25	1.605903133
26	1.590197371
27	1.582787959
28	1.574565892
29	1.558449564
30	1.549857257
31	1.533909959
32	1.526526908
33	1.512568402
34	1.494950438
35	1.481712851
36	1.471866301
37	1.462645074
38	1.45622992
39	1.447796672
40	1.431650564
41	1.421420659
42	1.414163359
43	1.40149694
44	1.389349
45	1.377371161
46	1.363892315
47	1.35227587
48	1.338915846
49	1.328929007
50	1.31731362
51	1.306596036
52	1.299024161
53	1.29264284
54	1.280497089
55	1.269281372
56	1.254844342
57	1.24380883
58	1.230447807
59	1.222533135
60	1.210876985
61	1.200413078
62	1.193746428
63	1.183020517
64	1.173282201
65	1.167657146
66	1.158172869
67	1.15289428
68	1.145709052
69	1.138841767
70	1.131934359
71	1.126395568
72	1.117677938
73	1.110928131
74	1.10054705
75	1.09371732
76	1.08753095
77	1.080715935
78	1.075005244
79	1.067983326
80	1.061026332
81	1.053958884
82	1.04790847
83	1.042461512
84	1.03424494
85	1.029331953
86	1.02332068
87	1.018184674
88	1.011839275
89	1.007177225
90	1.000711869
91	0.9946548871
92	0.9877917963
93	0.9806105893
94	0.9746511069
95	0.9684172224
96	0.9623556397
97	0.9565937116
98	0.9486440821
99	0.9400790007
100	0.9328454175
101	0.9270933251
102	0.9197003313
103	0.9146871933
104	0.9100221723
105	0.9060139341
106	0.9011999627
107	0.8961817507
108	0.8907040118
109	0.8868898469
110	0.881924696
111	0.8760922012
112	0.8724722068
113	0.8681504127
114	0.8637460634
115	0.8588438513
116	0.8552889849
117	0.8494123903
118	0.8448847442
119	0.8387655624
120	0.8352096645
121	0.8322567628
122	0.8293106013
123	0.8245418808
124	0.8207281136
125	0.8170330575
126	0.8128124848
127	0.8089775496
128	0.8034557303
129	0.799395418
130	0.7935419431
131	0.7905929795
132	0.7871412059
133	0.7819360596
134	0.7773875796
135	0.7708474131
136	0.7674362825
137	0.7649493686
138	0.7616472075
139	0.7572959205
140	0.7538489713
141	0.7508972432
142	0.7477454111
143	0.7443643411
144	0.7400710188
145	0.7367190185
146	0.7333658181
147	0.7295994167
148	0.7243053462
149	0.7210998297
150	0.7176291718
151	0.715097738
152	0.7100406896
153	0.7069113575
154	0.7037629429
155	0.6992065875
156	0.6948277407
157	0.6920693459
158	0.6892359718
159	0.6841048931
160	0.6808391668
161	0.6777765615
162	0.6748467932
163	0.6707876407
164	0.6677165665
165	0.6645604875
166	0.6612767001
167	0.6574267275
168	0.6534890119
169	0.6501231485
170	0.647739834
171	0.6444875358
172	0.6419762206
173	0.63956375
174	0.6350145993
175	0.6316042519
176	0.628122636
177	0.6258257306
178	0.6231185737
179	0.6199185911
180	0.6171065154
181	0.6150321522
182	0.6125407989
183	0.6091975669
184	0.6051788575
185	0.6009300245
186	0.5982833798
187	0.5950430506
188	0.591521899
189	0.5898155888
190	0.5863755634
191	0.5841685355
192	0.580907906
193	0.5784332504
194	0.5760598308
195	0.5747712741
196	0.5727940371
197	0.5704400951
198	0.5683567843
199	0.5666705671
200	0.565095617
201	0.5631231772
202	0.5611885865
203	0.5590699235
204	0.5571991694
205	0.5551899341
206	0.5538561839
207	0.5523652607
208	0.5507332464
209	0.5485019971
210	0.5448726864
211	0.5430935426
212	0.5412629506
213	0.5395021019
214	0.537786539
215	0.536401065
216	0.5347516233
217	0.5329335813
218	0.5312020186
219	0.529377343
220	0.5274922431
221	0.525812159
222	0.5229812037
223	0.5198827012
224	0.5166445716
225	0.5150321877
226	0.5134572794
227	0.5118811144
228	0.5102174916
229	0.5085390793
230	0.5073443794
231	0.5050128762
232	0.5029115413
233	0.5012587626
234	0.4998523656
235	0.4982334158
236	0.4968690592
237	0.4953048704
238	0.4937655524
239	0.4923624987
240	0.4908929455
241	0.4896148823
242	0.4880564149
243	0.4867526319
244	0.4850556352
245	0.4838201223
246	0.4823133763
247	0.4807645731
248	0.4790990632
249	0.4779064348
250	0.4766522208
251	0.4753468358
252	0.4732913393
253	0.4718584522
254	0.4693929035
255	0.467754522
256	0.4665701677
257	0.4646768416
258	0.4634291907
259	0.4622644071
260	0.4609253309
261	0.4584845236
262	0.4571937867
263	0.4558491821
264	0.4542087869
265	0.4528877105
266	0.4517248894
267	0.4504884333
268	0.4492762316
269	0.4482267661
270	0.4456566386
271	0.4444483278
272	0.4433773551
273	0.4414198035
274	0.4402253174
275	0.4390506968
276	0.4378982425
277	0.4368635045
278	0.4357939319
279	0.433393222
280	0.4321764797
281	0.4293875728
282	0.428534009
283	0.4269010398
284	0.425556423
285	0.424177938
286	0.4230561676
287	0.4222125345
288	0.4213892187
289	0.4178632938
290	0.4170502655
291	0.4151383695
292	0.4130022778
293	0.4121336854
294	0.4100113044
295	0.4091306459
296	0.4081479685
297	0.4071683955
298	0.4051209417
299	0.40311976
300	0.4023473326
301	0.4016260192
302	0.3991393315
303	0.3962080916
304	0.3955709099
305	0.3928311352
306	0.3901964701
307	0.3894807228
308	0.386486864
309	0.3852932014
310	0.3845986971
311	0.3838441983
312	0.3813268325
313	0.3790963717
314	0.3758980697
315	0.3734686778
316	0.3713061804
317	0.3705831007
318	0.3696533332
319	0.3668673639
320	0.3662344156
321	0.3656489308
322	0.3641190633
323	0.3615559746
324	0.3608769245
325	0.3600840088
326	0.3581630678
327	0.3553954164
328	0.3533525946
329	0.3511763526
330	0.3486162449
331	0.345921562
332	0.3430443953
333	0.3424567492
334	0.3400060187
335	0.3393879313
336	0.3388711323
337	0.3383548677
338	0.3367224462
339	0.3362217868
340	0.3335547046
341	0.3312749241
342	0.3286369301
343	0.326402941
344	0.3258910035
345	0.3239697833
346	0.3218978874
347	0.321020436
348	0.3205105648
349	0.3195533619
350	0.3190562709
351	0.3176810782
352	0.3155571068
353	0.3150095989
354	0.3130979304
355	0.3126175659
356	0.3105104514
357	0.3085243164
358	0.3080570052
359	0.3054898875
360	0.3050873852
361	0.3034344498
362	0.3029706477
363	0.3009485874
364	0.2988767241
365	0.2972814181
366	0.2954395928
367	0.2942424296
368	0.2928942611
369	0.292105671
370	0.2916173351
371	0.2911801311
372	0.2901448028
373	0.288073653
